userid,grade
A-2022_U1,D
A-2022_U2,D
A-2022_U3,D
A-2022_U4,D
A-2022_U5,A
A-2022_U6,A
A-2022_U7,B
A-2022_U8,D
A-2022_U9,B
A-2022_U10,A
A-2022_U11,D
A-2022_U12,D
A-2022_U13,A
A-2022_U14,C
A-2022_U15,D
A-2022_U16,A
A-2022_U17,B
A-2022_U18,A
A-2022_U19,A
A-2022_U20,A
A-2022_U21,B
A-2022_U22,D
A-2022_U23,A
A-2022_U24,A
A-2022_U25,D
A-2022_U26,C
A-2022_U27,D
A-2022_U28,D
A-2022_U29,D
A-2022_U30,A
A-2022_U31,A
A-2022_U32,A
A-2022_U33,A
A-2022_U34,A
A-2022_U35,A
A-2022_U36,D
A-2022_U37,D
A-2022_U38,B
A-2022_U39,C
A-2022_U40,D
A-2022_U41,C
A-2022_U42,B
A-2022_U43,D
A-2022_U44,D
A-2022_U45,F
A-2022_U46,A
A-2022_U47,D
A-2022_U48,D
A-2022_U49,D
A-2022_U50,C
A-2022_U51,D
A-2022_U52,F
