userid,grade
B-2020_U1,F
B-2020_U4,A
B-2020_U5,B
B-2020_U6,A
B-2020_U7,A
B-2020_U8,A
B-2020_U9,A
B-2020_U10,B
B-2020_U11,A
B-2020_U12,F
B-2020_U13,A
B-2020_U14,A
B-2020_U15,A
B-2020_U16,B
B-2020_U17,B
B-2020_U18,A
B-2020_U19,B
B-2020_U20,B
B-2020_U21,C
B-2020_U22,A
B-2020_U23,B
B-2020_U24,B
B-2020_U25,B
B-2020_U26,B
B-2020_U27,C
B-2020_U28,B
B-2020_U29,A
B-2020_U30,A
B-2020_U31,A
B-2020_U32,B
B-2020_U33,B
B-2020_U34,A
B-2020_U35,B
B-2020_U36,A
B-2020_U37,A
B-2020_U38,B
B-2020_U39,A
B-2020_U40,A
B-2020_U41,C
B-2020_U42,A
B-2020_U43,A
B-2020_U44,C
B-2020_U45,B
B-2020_U46,A
B-2020_U47,B
B-2020_U48,A
B-2020_U49,A
B-2020_U50,B
B-2020_U51,C
B-2020_U52,B
B-2020_U53,A
B-2020_U54,B
B-2020_U55,B
B-2020_U56,D
B-2020_U57,A
B-2020_U58,B
B-2020_U59,A
B-2020_U60,B
B-2020_U61,A
B-2020_U62,B
B-2020_U63,D
B-2020_U64,C
B-2020_U65,B
B-2020_U66,C
B-2020_U67,A
B-2020_U68,A
B-2020_U69,B
B-2020_U70,B
B-2020_U71,C
B-2020_U72,C
B-2020_U73,B
B-2020_U74,C
B-2020_U75,B
B-2020_U76,B
B-2020_U77,B
B-2020_U78,A
B-2020_U79,B
B-2020_U80,B
B-2020_U81,A
B-2020_U82,B
B-2020_U83,B
B-2020_U84,F
B-2020_U85,A
B-2020_U86,A
B-2020_U87,B
B-2020_U88,A
B-2020_U89,A
B-2020_U90,F
B-2020_U91,B
B-2020_U92,A
B-2020_U93,C
B-2020_U94,C
B-2020_U95,B
