userid,grade
C-2021-1_U1,F
C-2021-1_U2,A
C-2021-1_U3,B
C-2021-1_U4,F
C-2021-1_U5,F
C-2021-1_U6,C
C-2021-1_U7,B
C-2021-1_U8,B
C-2021-1_U9,C
C-2021-1_U10,B
C-2021-1_U11,B
C-2021-1_U12,B
C-2021-1_U13,C
C-2021-1_U14,C
C-2021-1_U15,C
C-2021-1_U16,C
C-2021-1_U17,F
C-2021-1_U18,D
C-2021-1_U19,C
C-2021-1_U20,A
C-2021-1_U21,F
C-2021-1_U22,C
C-2021-1_U23,B
C-2021-1_U24,B
C-2021-1_U25,D
C-2021-1_U26,B
C-2021-1_U27,B
C-2021-1_U28,B
C-2021-1_U29,C
C-2021-1_U30,A
C-2021-1_U31,B
C-2021-1_U32,A
C-2021-1_U33,B
C-2021-1_U34,C
C-2021-1_U35,B
C-2021-1_U36,A
C-2021-1_U37,B
C-2021-1_U38,B
C-2021-1_U39,B
C-2021-1_U40,B
C-2021-1_U41,C
C-2021-1_U42,B
C-2021-1_U43,B
C-2021-1_U44,C
C-2021-1_U45,B
C-2021-1_U46,C
C-2021-1_U47,C
C-2021-1_U48,B
C-2021-1_U49,B
C-2021-1_U50,B
C-2021-1_U51,B
C-2021-1_U52,C
C-2021-1_U53,B
C-2021-1_U54,C
C-2021-1_U55,B
C-2021-1_U56,C
C-2021-1_U57,B
C-2021-1_U58,A
C-2021-1_U59,B
C-2021-1_U60,C
C-2021-1_U61,B
C-2021-1_U62,A
C-2021-1_U63,B
C-2021-1_U64,B
C-2021-1_U65,B
C-2021-1_U66,D
C-2021-1_U67,F
C-2021-1_U68,B
C-2021-1_U69,C
C-2021-1_U70,D
C-2021-1_U71,A
C-2021-1_U72,C
C-2021-1_U73,B
C-2021-1_U74,B
C-2021-1_U75,B
C-2021-1_U76,B
C-2021-1_U77,C
C-2021-1_U78,C
C-2021-1_U79,A
C-2021-1_U80,B
C-2021-1_U81,D
C-2021-1_U82,C
C-2021-1_U83,B
C-2021-1_U84,B
C-2021-1_U85,B
C-2021-1_U86,D
C-2021-1_U87,C
C-2021-1_U88,C
C-2021-1_U89,C
C-2021-1_U90,C
C-2021-1_U91,C
C-2021-1_U92,B
C-2021-1_U93,C
C-2021-1_U94,B
C-2021-1_U95,B
C-2021-1_U96,B
C-2021-1_U97,D
C-2021-1_U98,B
C-2021-1_U99,B
C-2021-1_U100,C
C-2021-1_U101,B
C-2021-1_U102,B
C-2021-1_U103,B
C-2021-1_U104,B
C-2021-1_U105,B
C-2021-1_U106,C
C-2021-1_U107,C
