starttime,endtime,lecture
2021-10-04 14:50:00,2021-10-04 16:20:00,1
2021-10-11 14:50:00,2021-10-11 16:20:00,2
2021-10-18 14:50:00,2021-10-18 16:20:00,3
2021-10-25 14:50:00,2021-10-25 16:20:00,4
2021-11-01 14:50:00,2021-11-01 16:20:00,5
2021-11-15 14:50:00,2021-11-15 16:20:00,6
2021-11-22 14:50:00,2021-11-22 16:20:00,7
2021-11-29 14:50:00,2021-11-29 16:20:00,8
2021-12-06 14:50:00,2021-12-06 16:20:00,9
2021-12-13 14:50:00,2021-12-13 16:20:00,10
2021-12-20 14:50:00,2021-12-20 16:20:00,11
2022-01-17 14:50:00,2022-01-17 16:20:00,12
2022-01-24 14:50:00,2022-01-24 16:20:00,13
2022-01-31 14:50:00,2022-01-31 16:20:00,14
2022-02-07 14:50:00,2022-02-07 16:20:00,15
