starttime,endtime,lecture
2020-05-08 10:30:00,2020-05-08 12:00:00,1
2020-05-15 10:30:00,2020-05-15 12:00:00,2
2020-05-22 10:30:00,2020-05-22 12:00:00,3
2020-05-29 10:30:00,2020-05-29 12:00:00,4
2020-06-05 10:30:00,2020-06-05 12:00:00,5
2020-06-12 10:30:00,2020-06-12 12:00:00,6
2020-06-19 10:30:00,2020-06-19 12:00:00,7
2020-06-26 10:30:00,2020-06-26 12:00:00,8
2020-07-03 10:30:00,2020-07-03 12:00:00,9
2020-07-10 10:30:00,2020-07-10 12:00:00,10
2020-07-17 10:30:00,2020-07-17 12:00:00,11
2020-07-24 10:30:00,2020-07-24 12:00:00,12
2020-07-31 10:30:00,2020-07-31 12:00:00,13
2020-08-07 10:30:00,2020-08-07 12:00:00,14
