userid,grade
D-2021_U1,C
D-2021_U2,F
D-2021_U3,D
D-2021_U4,D
D-2021_U5,F
D-2021_U6,F
D-2021_U7,F
D-2021_U8,F
D-2021_U9,F
D-2021_U10,F
D-2021_U11,F
D-2021_U12,F
D-2021_U13,A
D-2021_U14,A
D-2021_U15,A
D-2021_U16,A
D-2021_U17,A
D-2021_U18,A
D-2021_U19,A
D-2021_U20,A
D-2021_U21,A
D-2021_U22,A
D-2021_U23,A
D-2021_U24,F
D-2021_U25,F
D-2021_U26,F
D-2021_U27,A
D-2021_U28,A
D-2021_U29,A
D-2021_U30,A
D-2021_U31,A
D-2021_U32,A
D-2021_U33,F
D-2021_U34,C
D-2021_U35,F
D-2021_U36,C
D-2021_U37,C
D-2021_U38,F
D-2021_U39,F
D-2021_U40,C
D-2021_U41,A
D-2021_U42,F
D-2021_U43,A
D-2021_U44,F
D-2021_U45,F
D-2021_U46,A
D-2021_U47,F
D-2021_U48,A
D-2021_U49,A
D-2021_U50,A
D-2021_U51,F
D-2021_U52,F
D-2021_U53,F
D-2021_U54,B
D-2021_U55,D
D-2021_U56,A
D-2021_U57,B
D-2021_U58,D
D-2021_U59,F
D-2021_U60,F
D-2021_U61,A
D-2021_U62,A
D-2021_U63,A
D-2021_U64,A
D-2021_U65,F
D-2021_U66,F
D-2021_U67,A
D-2021_U68,F
D-2021_U69,A
D-2021_U70,A
D-2021_U71,B
D-2021_U72,A
D-2021_U73,A
D-2021_U74,A
D-2021_U75,A
D-2021_U76,A
D-2021_U77,A
D-2021_U78,A
D-2021_U79,A
D-2021_U80,F
D-2021_U81,A
D-2021_U82,A
D-2021_U83,A
D-2021_U84,A
D-2021_U85,A
D-2021_U86,A
D-2021_U87,A
D-2021_U88,A
D-2021_U89,A
D-2021_U90,A
D-2021_U91,A
D-2021_U92,F
D-2021_U93,A
D-2021_U94,A
D-2021_U95,F
D-2021_U96,A
D-2021_U97,A
D-2021_U98,C
D-2021_U99,A
D-2021_U100,A
D-2021_U101,A
D-2021_U102,A
D-2021_U103,A
D-2021_U104,A
D-2021_U105,F
D-2021_U106,F
