userid,grade
E-2020-1_U2,F
E-2020-1_U3,A
E-2020-1_U4,C
E-2020-1_U5,A
E-2020-1_U6,B
E-2020-1_U7,B
E-2020-1_U8,C
E-2020-1_U9,A
E-2020-1_U10,F
E-2020-1_U11,A
E-2020-1_U12,C
E-2020-1_U13,A
E-2020-1_U14,B
E-2020-1_U15,C
E-2020-1_U16,A
E-2020-1_U17,C
E-2020-1_U18,A
E-2020-1_U19,B
E-2020-1_U20,B
E-2020-1_U21,D
E-2020-1_U22,C
E-2020-1_U23,B
E-2020-1_U24,C
E-2020-1_U25,A
E-2020-1_U26,C
E-2020-1_U27,A
E-2020-1_U28,F
E-2020-1_U29,A
E-2020-1_U30,D
E-2020-1_U31,B
E-2020-1_U32,B
E-2020-1_U33,A
E-2020-1_U34,F
E-2020-1_U35,B
E-2020-1_U36,F
E-2020-1_U37,B
E-2020-1_U38,C
E-2020-1_U39,B
E-2020-1_U40,B
E-2020-1_U41,D
E-2020-1_U42,C
E-2020-1_U43,C
E-2020-1_U44,F
E-2020-1_U45,D
E-2020-1_U46,B
E-2020-1_U47,B
E-2020-1_U48,F
E-2020-1_U49,B
E-2020-1_U50,D
E-2020-1_U51,B
E-2020-1_U52,A
E-2020-1_U53,D
E-2020-1_U54,B
E-2020-1_U55,B
E-2020-1_U56,A
E-2020-1_U57,B
E-2020-1_U58,F
E-2020-1_U59,A
E-2020-1_U60,A
E-2020-1_U61,C
E-2020-1_U62,D
E-2020-1_U63,F
E-2020-1_U64,F
E-2020-1_U65,D
E-2020-1_U66,B
E-2020-1_U67,B
E-2020-1_U68,A
E-2020-1_U69,B
E-2020-1_U70,A
E-2020-1_U71,F
E-2020-1_U72,F
E-2020-1_U73,F
E-2020-1_U74,B
