starttime,endtime,lecture
2020-05-08 08:40:00,2020-05-08 10:10:00,1
2020-05-15 08:40:00,2020-05-15 10:10:00,2
2020-05-22 08:40:00,2020-05-22 10:10:00,3
2020-05-29 08:40:00,2020-05-29 10:10:00,4
2020-06-05 08:40:00,2020-06-05 10:10:00,5
2020-06-12 08:40:00,2020-06-12 10:10:00,6
2020-06-19 08:40:00,2020-06-19 10:10:00,7
2020-06-26 08:40:00,2020-06-26 10:10:00,8
2020-07-03 08:40:00,2020-07-03 10:10:00,9
2020-07-17 08:40:00,2020-07-17 10:10:00,10
2020-07-24 08:40:00,2020-07-24 10:10:00,11
2020-07-31 08:40:00,2020-07-31 10:10:00,12
2020-08-07 08:40:00,2020-08-07 10:10:00,13
2020-08-17 08:40:00,2020-08-17 10:10:00,14
