userid,grade
E-2021_U3,F
E-2021_U4,F
E-2021_U5,F
E-2021_U6,B
E-2021_U7,C
E-2021_U8,B
E-2021_U9,B
E-2021_U10,C
E-2021_U11,B
E-2021_U12,F
E-2021_U13,C
E-2021_U14,B
E-2021_U15,F
E-2021_U16,F
E-2021_U17,F
E-2021_U18,B
E-2021_U19,B
E-2021_U20,B
E-2021_U21,C
E-2021_U22,C
E-2021_U23,B
E-2021_U24,B
E-2021_U25,A
E-2021_U26,D
E-2021_U27,C
E-2021_U28,B
E-2021_U29,F
E-2021_U30,F
E-2021_U31,F
E-2021_U32,C
E-2021_U33,F
E-2021_U34,F
E-2021_U35,F
E-2021_U36,F
E-2021_U37,D
E-2021_U38,F
E-2021_U39,B
E-2021_U40,B
E-2021_U41,F
E-2021_U42,F
E-2021_U43,F
E-2021_U44,B
E-2021_U45,C
E-2021_U46,D
E-2021_U47,F
E-2021_U48,F
E-2021_U49,F
E-2021_U50,B
E-2021_U51,A
E-2021_U52,B
E-2021_U53,A
E-2021_U54,F
E-2021_U55,F
E-2021_U56,F
E-2021_U57,F
E-2021_U58,F
E-2021_U59,D
