starttime,endtime,lecture
2021-06-14 13:00:00,2021-06-14 14:30:00,1
2021-06-14 14:50:00,2021-06-14 16:20:00,2
2021-06-21 13:00:00,2021-06-21 14:30:00,3
2021-06-21 14:50:00,2021-06-21 16:20:00,4
2021-06-28 13:00:00,2021-06-28 14:30:00,5
2021-06-28 14:50:00,2021-06-28 16:20:00,6
2021-07-05 13:00:00,2021-07-05 14:30:00,7
2021-07-05 14:50:00,2021-07-05 16:20:00,8
2021-07-12 13:00:00,2021-07-12 14:30:00,9
2021-07-12 14:50:00,2021-07-12 16:20:00,10
2021-07-19 13:00:00,2021-07-19 14:30:00,11
2021-07-19 14:50:00,2021-07-19 16:20:00,12
2021-07-26 13:00:00,2021-07-26 14:30:00,13
2021-07-26 14:50:00,2021-07-26 16:20:00,14
2021-08-02 13:00:00,2021-08-02 14:30:00,15
2021-08-02 14:50:00,2021-08-02 16:20:00,16
