userid,grade
F-2021_U1,B
F-2021_U2,A
F-2021_U3,A
F-2021_U4,A
F-2021_U5,A
F-2021_U6,B
F-2021_U7,A
F-2021_U8,A
F-2021_U9,A
F-2021_U10,A
F-2021_U11,B
F-2021_U12,B
F-2021_U13,A
F-2021_U14,A
F-2021_U15,A
F-2021_U16,A
F-2021_U17,A
F-2021_U18,A
F-2021_U19,F
F-2021_U20,A
F-2021_U21,A
F-2021_U22,A
F-2021_U23,A
F-2021_U24,A
F-2021_U25,A
F-2021_U26,A
F-2021_U27,A
F-2021_U28,A
F-2021_U29,A
F-2021_U30,A
F-2021_U31,A
F-2021_U32,A
F-2021_U33,A
F-2021_U34,C
F-2021_U35,A
F-2021_U36,C
F-2021_U37,A
F-2021_U38,A
F-2021_U39,A
F-2021_U40,A
F-2021_U41,A
F-2021_U42,A
F-2021_U43,D
F-2021_U44,A
F-2021_U45,B
F-2021_U46,A
F-2021_U47,A
F-2021_U48,A
F-2021_U49,A
F-2021_U50,A
F-2021_U51,A
F-2021_U52,D
F-2021_U53,A
F-2021_U54,A
F-2021_U55,A
F-2021_U56,A
F-2021_U57,A
F-2021_U58,A
F-2021_U59,A
F-2021_U60,A
F-2021_U61,A
F-2021_U62,B
F-2021_U63,A
F-2021_U64,A
F-2021_U65,A
F-2021_U66,F
F-2021_U67,A
F-2021_U68,B
F-2021_U69,A
F-2021_U70,A
F-2021_U71,A
F-2021_U72,A
F-2021_U73,B
F-2021_U74,A
F-2021_U75,B
F-2021_U76,A
F-2021_U77,F
F-2021_U78,A
F-2021_U79,A
F-2021_U80,A
F-2021_U81,C
F-2021_U82,C
F-2021_U83,A
F-2021_U84,A
F-2021_U85,D
F-2021_U86,A
F-2021_U87,B
F-2021_U88,A
F-2021_U89,B
F-2021_U90,B
F-2021_U91,A
F-2021_U92,A
F-2021_U93,A
F-2021_U94,B
