lecture,contentsid,pages
,F-2021_C1,38
,F-2021_C2,4
,F-2021_C3,2
,F-2021_C4,40
,F-2021_C5,3
,F-2021_C6,4
,F-2021_C7,40
,F-2021_C8,2
,F-2021_C9,4
,F-2021_C10,31
,F-2021_C11,1
,F-2021_C12,1
,F-2021_C13,26
,F-2021_C14,39
,F-2021_C15,3
,F-2021_C16,9
,F-2021_C17,31
,F-2021_C18,34
,F-2021_C19,4
,F-2021_C20,8
,F-2021_C21,29
,F-2021_C22,3
,F-2021_C23,3
,F-2021_C24,2
,F-2021_C25,6
,F-2021_C26,24
,F-2021_C27,35
,F-2021_C28,1
,F-2021_C29,2
,F-2021_C30,37
,F-2021_C31,6
,F-2021_C32,3
,F-2021_C33,22
,F-2021_C34,2
,F-2021_C35,4
,F-2021_C36,43
