starttime,endtime,lecture
2021-10-07 10:30:00,2021-10-07 12:00:00,1
2021-10-14 10:30:00,2021-10-14 12:00:00,2
2021-10-21 10:30:00,2021-10-21 12:00:00,3
2021-10-28 10:30:00,2021-10-28 12:00:00,4
2021-11-04 10:30:00,2021-11-04 12:00:00,5
2021-11-11 10:30:00,2021-11-11 12:00:00,6
2021-11-18 10:30:00,2021-11-18 12:00:00,7
2021-11-25 10:30:00,2021-11-25 12:00:00,8
2021-12-09 10:30:00,2021-12-09 12:00:00,9
2021-12-16 10:30:00,2021-12-16 12:00:00,10
2021-12-23 10:30:00,2021-12-23 12:00:00,11
2022-01-06 10:30:00,2022-01-06 12:00:00,12
2022-01-13 10:30:00,2022-01-13 12:00:00,13
2022-01-20 10:30:00,2022-01-20 12:00:00,14
