starttime,endtime,lecture
2021-06-16 13:00:00,2021-06-16 14:30:00,1
2021-06-16 14:50:00,2021-06-16 16:20:00,2
2021-06-23 13:00:00,2021-06-23 14:30:00,3
2021-06-23 14:50:00,2021-06-23 16:20:00,4
2021-06-30 13:00:00,2021-06-30 14:30:00,5
2021-06-30 14:50:00,2021-06-30 16:20:00,6
2021-07-07 13:00:00,2021-07-07 14:30:00,7
2021-07-07 14:50:00,2021-07-07 16:20:00,8
2021-07-14 13:00:00,2021-07-14 14:30:00,9
2021-07-14 14:50:00,2021-07-14 16:20:00,10
2021-07-21 13:00:00,2021-07-21 14:30:00,11
2021-07-21 14:50:00,2021-07-21 16:20:00,12
2021-07-28 13:00:00,2021-07-28 14:30:00,13
2021-07-28 14:50:00,2021-07-28 16:20:00,14
2021-08-04 13:00:00,2021-08-04 14:30:00,15
2021-08-04 14:50:00,2021-08-04 16:20:00,16
